Nombre de la Herramienta,País de Origen,Elaboración de la ficha detallada,Institución Responsable,Finalidad de la Herramienta,Momento de la Actividad Productiva,Taxonomia da ferramenta (principal),Canales de Acceso a la Información,Tipología de los Canales de Comunicación,Público Objetivo Principal,Alcance de Aplicación,Modelo de Acceso,Dimensión de Interacción,Naturaleza Institucional,Categoría de la Organización,Idioma de Disponibilización,Integración con WhatsApp,Conectividad Necesaria,Nivel de Digitalización,Nivel de Apertura de la Herramienta,Link,Descripción (resumen)
INIA móvil - INIAlog Forestal,Uruguay,Sí,INIA,Aprendizaje,Dentro ,"Contenido, Educación y Red Social",Website + Aplicación,Medios de masa,Extensionista,Específica (florestal),Gratuito,Extensionista ↔ Contenido/Plataforma,Pública,Empresa Pública de Investigación,Espanhol,No,Sí,Digitalización,Accesible a Terceros,www.inialog.org.uy,"Herramienta para técnicos, productores y empresas del sector forestal, que permite acceder a información y productos tecnológicos para optimizar la gestión de recursos forestales. Este catálogo digital reúne publicaciones, metodologías y herramientas prácticas"
INIA móvil - INIA Termomín,Uruguay,No,INIA, Orientación Técnica,Dentro ,"Meteorología, Clima e Irrigación",Aplicación,Medios de masa,Ambos,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública,Empresa Pública de Investigación,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://www.inia.uy/inia-termomin,"Permite acceder a un pronóstico de hasta 5 días, de las temperaturas mínimas del aire (a dos metros de altura) y sobre el suelo, para tomar decisiones a tiempo que eviten o minimicen pérdidas productivas. "
INIA móvil - CultiDatos_Uy,Uruguay,No,INIA, Orientación Técnica,Dentro ,Semillas y Plantines, Paneles de Monitoreo (Dashboards),Medios de masa,Ambos,"Específica (Trigo, raigrás, colza, festuca, soja y alfafa).",Gratuito,Productor ↔ Contenido/Plataforma,Pública,Empresa Pública de Investigación,Espanhol,No,Sí,Digitación,Accesible a Terceros,https://www.inia.uy/index.php/cultidatosuy-aplicacion-de-analisis-y-seleccion-de-cultivares,"Aplicación web que facilita el acceso y la comparación de información oficial de cultivares en Uruguay, apoyando la elección de materiales según la situación productiva "
INIA móvil - CultiDOCTOR_UY ,Uruguay,Sí,INIA, Orientación Técnica,Dentro ,"Contenido, Educación y Red Social",Website + Aplicación,Interpersonal,Productor," Específica (Trigo, Cebada, Avena, Triticale, Soja y Colza)",Gratuito,Productor ↔ Contenido/Plataforma,Pública,Empresa Pública de Investigación,Espanhol,No,Sí,Digitalización,Accesible a Terceros,ttps://www.inia.uy/cultidoctoruy-una-nueva-herramienta-para-identificacion-de-enfermedades-en-cultivos,"Aplicación que tiene como objetivo brindar a técnicos y productores una guía práctica que permita una identificación rápida a campo de las enfermedades para los cultivos de trigo, cebada, triticale, avena, soja y colza."
INIA móvil - TERMOESTRÉS BOVINOS,Uruguay,No,INIA, Orientación Técnica,Dentro ,"Meteorología, Clima e Irrigación",Website + Aplicación,Medios de masa,Productor,Específica (bovinos),Gratuito,Productor ↔ Contenido/Plataforma,Pública,Empresa Pública de Investigación,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://www.inia.uy/inia-termoestres,"Brindar al usuario información fundamentada en el reconocido Índice de Temperatura y Humedad (ITH), para dos sistemas productivos - carne y leche, en condiciones extensivas o intensivas de producción."
INIA móvil –Previsión de estrés calórico en bovinos,Uruguay,No,INIA, Orientación Técnica,Dentro ,"Meteorología, Clima e Irrigación",Website,Medios de masa,Extensionista,Específica (bovinos),Gratuito,Extensionista ↔ Contenido/Plataforma,Pública,Empresa Pública de Investigación,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://www.inia.uy/prevision-de-estres-calorico-en-bovinos-0,"Herramienta que prevé el riesgo de estrés calórico en bovinos de carne y leche con hasta siete días de anticipación, a partir del Índice de Temperatura y Humedad (ITH), apoyando a productores y técnicos en la adopción de medidas preventivas para reducir pérdidas en bienestar y productividad."
Grupos de WhatsApp institucionalizados,Uruguay,Sí,SNIDER, Orientación Técnica,Dentro ,Consultoría & Asistencia Técnica, Grupos de Mensajería,Medios de masa,Productor,General,Gratuito,Productor ↔ Extensionista,Pública,Ministerio / Gobierno Federal,Espanhol,Sí,Sí,Digitalización,Accesible a Terceros,https://www.encuentrorural.uy/,"Espacios digitales  organizados y moderados por organizaciones del sistema de ATER, utilizados para promover el intercambio de información técnica, el acompañamiento productivo y el fortalecimiento de comunidades de práctica. Estos grupos pueden operar de forma integrada con acciones presenciales, siguen metodologías definidas, cuentan con gobernanza institucional y producción planificada de contenidos, y buscan ampliar el alcance, la eficiencia y la participación en los procesos de extensión rural."
Cursos a distancia,Uruguay,Sí,Instituto Plan Agropecuario,Aprendizaje,Dentro ,"Contenido, Educación y Red Social",Website,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública,Empresa de ATER / Servicio Público de Extensión,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://www.planagropecuario.org.uy/web/oferta-de-cursos-a-distancia.html,"Cursos en línea estructurados, con contenidos técnicos aplicados a la realidad productiva, que abordan temas como manejo de pasturas, alimentación y carga animal, gestión de la empresa ganadera, indicadores productivos, sostenibilidad y toma de decisiones"
PlanTV,Uruguay,Sí,Instituto Plan Agropecuario, Orientación Técnica,Dentro ,"Contenido, Educación y Red Social",Website,Medios de masa,Ambos,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública,Empresa de ATER / Servicio Público de Extensión,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://www.planagropecuario.org.uy/web/plantv.html,"Plataforma digital de contenidos audiovisuales orientada a la difusión de información técnica, experiencias productivas y debates sobre ganadería y sistemas agropecuarios. A través de programas semanales y materiales grabados en campo, PlanTV apoya a productores, técnicos y extensionistas con contenidos prácticos sobre manejo, gestión, sostenibilidad e innovación en el medio rural."
Herramientas digitales,Uruguay,Sí,Instituto Plan Agropecuario, Orientación Técnica,Dentro ,Monitoreo y Gestión Integrada de la Producción,Website,No se aplica,Ambos,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública,Empresa de ATER / Servicio Público de Extensión,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://www.planagropecuario.org.uy/web/,"Conjunto de herramientas digitales en línea orientadas al apoyo técnico y a la toma de decisiones en la ganadería, especialmente en sistemas de base pastoril, que incluyen calculadoras de carga y de indicadores prediales para la planificación productiva y el análisis del desempeño de los establecimientos; las herramientas MEGanE y enPastoreo, orientadas a la gestión del pastoreo y al manejo de las pasturas; la Evaluación Medio Ambiental Ganadera, dirigida al análisis de los aspectos ambientales de los sistemas ganaderos; la Carpeta Verde, utilizada para el registro y el seguimiento de la información productiva; el visualizador de crecimiento de pasturas, que apoya el monitoreo forrajero; y el Índice sobre Plato de Comida (IsPC), indicador utilizado para evaluar la oferta y la disponibilidad de forraje."
Agrofocal,Uruguay,No,Agrofocal, Orientación Técnica,Dentro ,Diagnóstico e Identificación por Imagen,Aplicación,Medios de masa,Productor,"Específica (uva, laranja, morango)",Freemium,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Multilingüe,No,Sí,Transformación Digital,Accesible a Terceros,"https://agrofocal.ai/
https://apps.apple.com/us/app/agrofocal/id1643921543","Agrofocal Technologies desarrolla un sistema digital de monitoreo de cultivos enfocado en el seguimiento de la productividad y el estado sanitario de los cultivos. La aplicación Agrofocal permite utilizar este sistema directamente en el campo, facilitando el registro y monitoreo de los cultivos en tiempo real. También permite el envío de videos de las áreas cultivadas para análisis técnicos, lo que contribuye a la observación del desarrollo del cultivo y a la identificación de posibles problemas a lo largo del ciclo de producción.
"
